date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:29:48	16804/16804	---MCZ	200	added ('OK')	application/font-woff	etag:%22d7f058bf4689715ba7d67da6e8bb36b9-ssl-df%22	https://www.babypoocake.app/assets/fonts/fa-regular-400.woff	C:/My%20Web%20Sites/BPC/www.babypoocake.app/assets/fonts/fa-regular-400.woff	(from https://www.babypoocake.app/assets/fonts/font-awesome5.css)
15:29:49	34092/34092	---M--	200	added ('OK')	font/ttf	etag:%2215f57109ce2cc093604b14ef78d97cee-ssl%22	https://www.babypoocake.app/assets/fonts/fa-regular-400.ttf	C:/My%20Web%20Sites/BPC/www.babypoocake.app/assets/fonts/fa-regular-400.ttf	(from https://www.babypoocake.app/assets/fonts/font-awesome5.css)
15:29:50	144451/144451	---MCZ	200	added ('OK')	image/svg+xml	etag:%22f299a7aef759649394871183541b9045-ssl-df%22	https://www.babypoocake.app/assets/fonts/fa-regular-400.svg	C:/My%20Web%20Sites/BPC/www.babypoocake.app/assets/fonts/fa-regular-400.svg	(from https://www.babypoocake.app/assets/fonts/font-awesome5.css)
15:29:51	186708/186708	---MCZ	200	added ('OK')	application/octet-stream	etag:%22b8ed647a2a0149fb7ba8e26a8af53977-ssl-df%22	https://www.babypoocake.app/assets/fonts/fa-solid-900.eot	C:/My%20Web%20Sites/BPC/www.babypoocake.app/assets/fonts/fa-solid-900.eot	(from https://www.babypoocake.app/assets/fonts/font-awesome5.css)
15:29:51	186708/186708	---M-Z	200	added ('OK')	application/octet-stream	etag:%22b8ed647a2a0149fb7ba8e26a8af53977-ssl-df%22	https://www.babypoocake.app/assets/fonts/fa-solid-900.eot?	C:/My%20Web%20Sites/BPC/www.babypoocake.app/assets/fonts/fa-solid-900d41d.eot	(from https://www.babypoocake.app/assets/fonts/font-awesome5.css)
15:29:52	74328/74328	---M--	200	added ('OK')	font/woff2	etag:%2227fc3f7e95b66f7ace6f370e24eee1f6-ssl%22	https://www.babypoocake.app/assets/fonts/fa-solid-900.woff2	C:/My%20Web%20Sites/BPC/www.babypoocake.app/assets/fonts/fa-solid-900.woff2	(from https://www.babypoocake.app/assets/fonts/font-awesome5.css)
15:29:53	96256/96256	---MCZ	200	added ('OK')	application/font-woff	etag:%2254ad1491ccc13db2f743f8516b1b895f-ssl-df%22	https://www.babypoocake.app/assets/fonts/fa-solid-900.woff	C:/My%20Web%20Sites/BPC/www.babypoocake.app/assets/fonts/fa-solid-900.woff	(from https://www.babypoocake.app/assets/fonts/font-awesome5.css)
15:29:55	186424/186424	---M--	200	added ('OK')	font/ttf	etag:%22164fab34beb3de58cc61b4c513cf49b0-ssl%22	https://www.babypoocake.app/assets/fonts/fa-solid-900.ttf	C:/My%20Web%20Sites/BPC/www.babypoocake.app/assets/fonts/fa-solid-900.ttf	(from https://www.babypoocake.app/assets/fonts/font-awesome5.css)
15:29:56	7703/7703	---M-Z	200	added ('OK')	image/svg+xml	etag:%22140effd7283edc7ead8186aa51039f23-ssl%22	https://www.babypoocake.app/assets/img/SVG/BG1.svg	C:/My%20Web%20Sites/BPC/www.babypoocake.app/assets/img/SVG/BG1.svg	(from https://www.babypoocake.app/assets/css/main.css)
15:29:58	816852/816852	---MCZ	200	added ('OK')	image/svg+xml	etag:%2222f34bde0738116c1e40d012f6811ec1-ssl-df%22	https://www.babypoocake.app/assets/fonts/fa-solid-900.svg	C:/My%20Web%20Sites/BPC/www.babypoocake.app/assets/fonts/fa-solid-900.svg	(from https://www.babypoocake.app/assets/fonts/font-awesome5.css)
